,id_orgao_julgador,sigla_tribunal,ramo_justica,nome_orgao,uf,id_municipio,ind1,ind2,ind3,taxa_entrada,taxa_saida,retorno,log_ind1,log_ind2,log_ind3,log_taxa_entrada,log_taxa_saida,log_retorno
0,10000,TJSP,Justiça Estadual,03 CIVEL DE OURINHOS,SP,5197,190,4414,159,0.043044857272315364,0.036021748980516535,0.8368421052631579,2.278753600952829,3.644832328825636,2.2013971243204513,-1.3660787278728073,-1.4434352045051848,-0.07735647663237745
1,10001,TJSP,Justiça Estadual,SAF DE OURINHOS,SP,5197,18,55729,666,0.0003229916201618547,0.011950689945988623,37.0,1.255272505103306,4.746081250155099,2.823474229170301,-3.490808745051793,-1.922607020984798,1.568201724066995
2,10002,TJSP,Justiça Estadual,01 CRIMINAL DE OURINHOS,SP,5197,87,2207,138,0.03942002718622564,0.06252831898504757,1.5862068965517242,1.9395192526186185,3.343802333161655,2.1398790864012365,-1.4042830805430366,-1.2039232467604186,0.20035983378261799
3,10003,TJSP,Justiça Estadual,02 CRIMINAL DE OURINHOS,SP,5197,72,2283,138,0.03153745072273324,0.06044678055190539,1.9166666666666667,1.8573324964312685,3.3585059114902354,2.1398790864012365,-1.5011734150589668,-1.2186268250889987,0.28254658996996806
4,10004,TJSP,Justiça Estadual,JUIZADO ESPECIAL CIVEL CRIM. DE PACAEMBU,SP,5200,186,699,191,0.26609442060085836,0.2732474964234621,1.0268817204301075,2.2695129442179165,2.8444771757456815,2.2810333672477277,-0.5749642315277651,-0.5634438084979538,0.011520423029811216
5,10005,TJSP,Justiça Estadual,01 CUMULATIVA DE PACAEMBU,SP,5200,124,5001,162,0.024795040991801638,0.03239352129574085,1.3064516129032258,2.093421685162235,3.699056854547668,2.2095150145426308,-1.6056351693854327,-1.4895418400050369,0.11609332938039586
6,10006,TJSP,Justiça Estadual,JUIZADO ESPECIAL CIVEL CRIM. DE PALESTINA,SP,5201,22,245,28,0.08979591836734693,0.11428571428571428,1.2727272727272727,1.3424226808222062,2.3891660843645326,1.4471580313422192,-1.0467434035423262,-0.9420080530223133,0.10473535052001297
7,10007,TJSP,Justiça Estadual,VARA UNICA DE PALESTINA,SP,5201,76,3154,124,0.024096385542168676,0.039315155358275206,1.631578947368421,1.8808135922807914,3.498861688992884,2.093421685162235,-1.6180480967120927,-1.405440003830649,0.21260809288144372
8,10008,TJSP,Justiça Estadual,JUIZADO ESPECIAL CIVEL CRIM. DE PALMEIRA D OESTE,SP,5203,119,435,123,0.2735632183908046,0.2827586206896552,1.0336134453781514,2.075546961392531,2.6384892569546374,2.089905111439398,-0.5629422955621066,-0.5485841455152394,0.014358150046867215
9,10009,TJSP,Justiça Estadual,VARA UNICA DE PALMEIRA D OESTE,SP,5203,161,2944,174,0.0546875,0.059103260869565216,1.0807453416149069,2.2068258760318495,3.4689378056654614,2.2405492482825995,-1.2621119296336116,-1.2283885573828615,0.033723372250750026
10,10011,TJSP,Justiça Estadual,JUIZADO ESPECIAL CIVEL DE PALMITAL,SP,5204,106,1651,107,0.06420351302241066,0.06480920654149,1.009433962264151,2.0253058652647704,3.2177470732627937,2.0293837776852097,-1.1924412079980233,-1.188363295577584,0.004077912420439447
